Dato;Beskrivelse;Rentedato;Inn;Ut;Til konto;Fra konto
25.07.2026;DISNEY PLUS;25.07.2026;;-139,00;;
24.07.2026;COOP EXTRA;24.07.2026;;-438,69;;
23.07.2026;ESPRESSO HOUSE;23.07.2026;;-48,51;;
22.07.2026;Vipps*Ola Hansen;22.07.2026;;-314,99;;
22.07.2026;APPLE.COM/BILL;22.07.2026;;-99,00;;
21.07.2026;KIWI 512 OSLO;21.07.2026;;-119,31;;
21.07.2026;NARVESEN;21.07.2026;;-318,04;;
20.07.2026;NARVESEN;20.07.2026;;-615,97;;
20.07.2026;KIWI 512 OSLO;20.07.2026;;-102,48;;
20.07.2026;TELIA NORGE AS;20.07.2026;;-399,00;;
19.07.2026;RUTER AS;19.07.2026;;-42,00;;
18.07.2026;7-ELEVEN;18.07.2026;;-121,90;;
18.07.2026;Spotify AB Stockholm;18.07.2026;;-129,00;;
17.07.2026;REMA 1000 GRUNERLOKKA;17.07.2026;;-76,13;;
16.07.2026;ESPRESSO HOUSE;16.07.2026;;-94,36;;
15.07.2026;REMA 1000 GRUNERLOKKA;15.07.2026;;-94,89;;
15.07.2026;COOP EXTRA;15.07.2026;;-99,31;;
15.07.2026;Lånekassen utbetaling;15.07.2026;11750,00;;;
14.07.2026;KIWI 512 OSLO;14.07.2026;;-611,03;;
14.07.2026;7-ELEVEN;14.07.2026;;-71,41;;
14.07.2026;NETFLIX.COM;14.07.2026;;-159,00;;
13.07.2026;7-ELEVEN;13.07.2026;;-265,56;;
13.07.2026;ESPRESSO HOUSE;13.07.2026;;-264,54;;
11.07.2026;COOP EXTRA;11.07.2026;;-438,94;;
10.07.2026;7-ELEVEN;10.07.2026;;-347,74;;
10.07.2026;VIAPLAY GROUP;10.07.2026;;-169,00;;
09.07.2026;Vipps*Ola Hansen;09.07.2026;;-199,93;;
08.07.2026;REMA 1000 GRUNERLOKKA;08.07.2026;;-318,70;;
07.07.2026;COOP EXTRA;07.07.2026;;-123,51;;
07.07.2026;JOKER TORSHOV;07.07.2026;;-123,29;;
07.07.2026;SONY INTERACTIVE ENTERTAINMENT;07.07.2026;;-99,00;;
06.07.2026;7-ELEVEN;06.07.2026;;-612,08;;
05.07.2026;7-ELEVEN;05.07.2026;;-540,43;;
05.07.2026;APPLE.COM/BILL ITUNES.COM;05.07.2026;;-29,00;;
04.07.2026;7-ELEVEN;04.07.2026;;-356,42;;
04.07.2026;KIWI 512 OSLO;04.07.2026;;-132,32;;
03.07.2026;7-ELEVEN;03.07.2026;;-263,71;;
03.07.2026;STRAVA INC;03.07.2026;;-799,00;;
03.07.2026;OPENAI *CHATGPT SUBSCR USD 20,00;03.07.2026;;-209,80;;
02.07.2026;Vipps*Ola Hansen;02.07.2026;;-110,66;;
01.07.2026;KIWI 512 OSLO;01.07.2026;;-323,81;;
01.07.2026;RUTER AS;01.07.2026;;-42,00;;
01.07.2026;Overføring HUSLEIE Kari Nordmann;01.07.2026;;-6500,00;;
01.07.2026;TRENER 1 AS;01.07.2026;;-459,00;;
30.06.2026;RUTER AS;30.06.2026;;-42,00;;
30.06.2026;Vipps*Ola Hansen;30.06.2026;;-454,23;;
29.06.2026;Vipps*Ola Hansen;29.06.2026;;-413,57;;
29.06.2026;KIWI 512 OSLO;29.06.2026;;-70,49;;
28.06.2026;KIWI 512 OSLO;28.06.2026;;-587,64;;
28.06.2026;NARVESEN;28.06.2026;;-75,23;;
27.06.2026;RUTER AS;27.06.2026;;-42,00;;
26.06.2026;KIWI 512 OSLO;26.06.2026;;-482,27;;
26.06.2026;REMA 1000 GRUNERLOKKA;26.06.2026;;-597,78;;
25.06.2026;COOP EXTRA;25.06.2026;;-580,96;;
25.06.2026;COOP EXTRA;25.06.2026;;-477,93;;
25.06.2026;DISNEY PLUS;25.06.2026;;-139,00;;
22.06.2026;Vipps*Ola Hansen;22.06.2026;;-391,24;;
22.06.2026;RUTER AS;22.06.2026;;-42,00;;
22.06.2026;APPLE.COM/BILL;22.06.2026;;-99,00;;
21.06.2026;KIWI 512 OSLO;21.06.2026;;-371,04;;
20.06.2026;COOP EXTRA;20.06.2026;;-443,91;;
20.06.2026;TELIA NORGE AS;20.06.2026;;-399,00;;
19.06.2026;NARVESEN;19.06.2026;;-246,53;;
19.06.2026;RUTER AS;19.06.2026;;-42,00;;
18.06.2026;NARVESEN;18.06.2026;;-433,03;;
18.06.2026;SPOTIFY P2F8A1C3D;18.06.2026;;-129,00;;
15.06.2026;RUTER AS;15.06.2026;;-42,00;;
15.06.2026;Lånekassen utbetaling;15.06.2026;11750,00;;;
14.06.2026;KIWI 512 OSLO;14.06.2026;;-375,24;;
14.06.2026;NETFLIX.COM;14.06.2026;;-159,00;;
13.06.2026;ESPRESSO HOUSE;13.06.2026;;-512,43;;
11.06.2026;Vipps*Ola Hansen;11.06.2026;;-280,20;;
10.06.2026;REMA 1000 GRUNERLOKKA;10.06.2026;;-360,65;;
10.06.2026;REMA 1000 GRUNERLOKKA;10.06.2026;;-606,11;;
10.06.2026;VIAPLAY GROUP;10.06.2026;;-169,00;;
09.06.2026;REMA 1000 GRUNERLOKKA;09.06.2026;;-372,61;;
09.06.2026;KIWI 512 OSLO;09.06.2026;;-129,00;;
07.06.2026;ESPRESSO HOUSE;07.06.2026;;-283,34;;
07.06.2026;KIWI 512 OSLO;07.06.2026;;-175,79;;
07.06.2026;SONY INTERACTIVE ENTERTAINMENT;07.06.2026;;-99,00;;
06.06.2026;REMA 1000 GRUNERLOKKA;06.06.2026;;-85,28;;
05.06.2026;REMA 1000 GRUNERLOKKA;05.06.2026;;-567,18;;
05.06.2026;APPLE.COM/BILL ITUNES.COM;05.06.2026;;-29,00;;
03.06.2026;OPENAI *CHATGPT SUBSCR USD 20,00;03.06.2026;;-213,60;;
01.06.2026;COOP EXTRA;01.06.2026;;-265,97;;
01.06.2026;Overføring HUSLEIE Kari Nordmann;01.06.2026;;-6500,00;;
01.06.2026;TRENER 1 AS;01.06.2026;;-459,00;;
